date,bitcoin,
26/08/2012,130.7032338,
27/08/2012,112.0313432,
28/08/2012,149.3751243,
29/08/2012,145.6407462,
30/08/2012,141.9063681,
31/08/2012,100.8282089,
01/09/2012,138.17199,
02/09/2012,112.0313432,
03/09/2012,119.5000995,
04/09/2012,123.2344776,
05/09/2012,373.4378108,
06/09/2012,339.8284078,
07/09/2012,205.3907959,
08/09/2012,179.2501492,
09/09/2012,201.6564178,
10/09/2012,119.5000995,
11/09/2012,153.1095024,
12/09/2012,153.1095024,
13/09/2012,130.7032338,
14/09/2012,104.562587,
15/09/2012,130.7032338,
16/09/2012,141.9063681,
17/09/2012,156.8438805,
18/09/2012,138.17199,
19/09/2012,153.1095024,
20/09/2012,130.7032338,
21/09/2012,108.2969651,
22/09/2012,112.0313432,
23/09/2012,145.6407462,
24/09/2012,134.4376119,
25/09/2012,126.9688557,
26/09/2012,138.17199,
27/09/2012,164.3126367,
28/09/2012,149.3751243,
29/09/2012,156.8438805,
30/09/2012,145.6407462,
01/10/2012,149.3751243,
02/10/2012,149.3751243,
03/10/2012,149.3751243,
04/10/2012,126.9688557,
05/10/2012,119.5000995,
06/10/2012,112.0313432,
07/10/2012,126.9688557,
08/10/2012,126.9688557,
09/10/2012,138.17199,
10/10/2012,112.0313432,
11/10/2012,153.1095024,
12/10/2012,130.7032338,
13/10/2012,119.5000995,
14/10/2012,134.4376119,
15/10/2012,104.562587,
16/10/2012,134.4376119,
17/10/2012,119.5000995,
18/10/2012,115.7657213,
19/10/2012,153.1095024,
20/10/2012,119.5000995,
21/10/2012,119.5000995,
22/10/2012,108.2969651,
23/10/2012,97.09383081,
24/10/2012,108.2969651,
25/10/2012,108.2969651,
26/10/2012,115.7657213,
27/10/2012,112.0313432,
28/10/2012,93.3594527,
29/10/2012,97.09383081,
30/10/2012,123.2344776,
31/10/2012,85.89069648,
01/11/2012,115.7657213,
02/11/2012,104.562587,
03/11/2012,112.0313432,
04/11/2012,168.0470149,
05/11/2012,153.1095024,
06/11/2012,123.2344776,
07/11/2012,100.8282089,
08/11/2012,126.9688557,
09/11/2012,100.8282089,
10/11/2012,138.17199,
11/11/2012,97.09383081,
12/11/2012,130.7032338,
13/11/2012,112.0313432,
14/11/2012,108.2969651,
15/11/2012,93.3594527,
16/11/2012,220.3283084,
17/11/2012,171.781393,
18/11/2012,119.5000995,
19/11/2012,141.9063681,
20/11/2012,153.1095024,
21/11/2012,107.7345807,
22/11/2012,107.7345807,
23/11/2012,107.7345807,
24/11/2012,161.6018711,
25/11/2012,107.7345807,
26/11/2012,161.6018711,
27/11/2012,161.6018711,
28/11/2012,323.2037422,
29/11/2012,161.6018711,
30/11/2012,161.6018711,
01/12/2012,161.6018711,
02/12/2012,161.6018711,
03/12/2012,107.7345807,
04/12/2012,107.7345807,
05/12/2012,161.6018711,
06/12/2012,161.6018711,
07/12/2012,161.6018711,
08/12/2012,215.4691615,
09/12/2012,269.3364519,
10/12/2012,215.4691615,
11/12/2012,215.4691615,
12/12/2012,161.6018711,
13/12/2012,161.6018711,
14/12/2012,161.6018711,
15/12/2012,161.6018711,
16/12/2012,161.6018711,
17/12/2012,161.6018711,
18/12/2012,161.6018711,
19/12/2012,107.7345807,
20/12/2012,107.7345807,
21/12/2012,107.7345807,
22/12/2012,107.7345807,
23/12/2012,107.7345807,
24/12/2012,161.6018711,
25/12/2012,107.7345807,
26/12/2012,107.7345807,
27/12/2012,161.6018711,
28/12/2012,107.7345807,
29/12/2012,107.7345807,
30/12/2012,161.6018711,
31/12/2012,107.7345807,
01/01/2013,107.7345807,
02/01/2013,161.6018711,
03/01/2013,161.6018711,
04/01/2013,161.6018711,
